43	Cr10HGO	8-hydroxygeraniol dehydrogenase
120	14-3-3-1	14-3-3 protein 1
131	14-3-3-2	14-3-3 protein 2
135	14-3-3-2	14-3-3 protein homolog 2
139	14-3-3-3	14-3-3 protein 3
152	SR14-3-3	Stress-regulated 14-3-3 protein
165	14-3-3A	14-3-3-like protein A
166	KCIP-1	Protein kinase C inhibitor protein 1
168	14-3-3B	14-3-3-like protein B
169	KCIP-1	Protein kinase C inhibitor protein 1
171	KCIP-1	Protein kinase C inhibitor protein 1
173	KCIP-1	Protein kinase C inhibitor protein 1
174	KCIP-1	Protein kinase C inhibitor protein 1
183	14-3-3E	14-3-3 protein epsilon
184	14-3-3E	14-3-3 protein epsilon
186	14-3-3E	14-3-3 protein epsilon
187	14-3-3E	14-3-3 protein epsilon
188	14-3-3E	14-3-3 protein epsilon
188	MSF L	Mitochondrial import stimulation factor L subunit
189	KCIP-1	Protein kinase C inhibitor protein 1
189	14-3-3E	14-3-3 protein epsilon
191	KCIP-1	Protein kinase C inhibitor protein 1
196	KCIP-1	Protein kinase C inhibitor protein 1
198	KCIP-1	Protein kinase C inhibitor protein 1
202	KCIP-1	Protein kinase C inhibitor protein 1
218	KCIP-1	Protein kinase C inhibitor protein 1
218	FAS	Factor activating exoenzyme S
221	KCIP-1	Protein kinase C inhibitor protein 1
222	KCIP-1	Protein kinase C inhibitor protein 1
223	KCIP-1	Protein kinase C inhibitor protein 1
225	KCIP-1	Protein kinase C inhibitor protein 1
245	Protein 14-3-3B1	14-3-3 protein beta/alpha-1
246	Protein 14-3-3B2	14-3-3 protein beta/alpha-2
252	Protein 14-3-3G1	14-3-3 protein gamma-1
253	Protein 14-3-3G2	14-3-3 protein gamma-2
271	ABF	Exo-alpha-(1->6)-L-arabinofuranosidase
314	ACC synthase 11	1-aminocyclopropane-1-carboxylate synthase 11
317	ACC synthase	1-aminocyclopropane-1-carboxylate synthase CMW33
318	ACC synthase 1	1-aminocyclopropane-1-carboxylate synthase 1
320	ACC synthase 1	1-aminocyclopropane-1-carboxylate synthase 1
321	ACC synthase 1	1-aminocyclopropane-1-carboxylate synthase 1
322	ACC synthase 1	1-aminocyclopropane-1-carboxylate synthase 1
323	ACC synthase 2	1-aminocyclopropane-1-carboxylate synthase 2
324	ACC synthase 2	1-aminocyclopropane-1-carboxylate synthase 2
325	ACC synthase	1-aminocyclopropane-1-carboxylate synthase CMA101
326	ACC synthase 2	1-aminocyclopropane-1-carboxylate synthase 2
326	ACS-2	Le-ACS2
327	ACS-3	Le-ACS3
327	ACC synthase 3	1-aminocyclopropane-1-carboxylate synthase 3
328	ACC synthase 4	1-aminocyclopropane-1-carboxylate synthase 4
329	ACS-4	Le-ACS4
329	ACC synthase 4	1-aminocyclopropane-1-carboxylate synthase 4
330	ACC synthase 5	1-aminocyclopropane-1-carboxylate synthase 5
331	ACC synthase 6	1-aminocyclopropane-1-carboxylate synthase 6
332	ACC synthase 7	1-aminocyclopropane-1-carboxylate synthase 7
333	ACC synthase 8	1-aminocyclopropane-1-carboxylate synthase 8
334	ACC synthase 9	1-aminocyclopropane-1-carboxylate synthase 9
335	ACC synthase	1-aminocyclopropane-1-carboxylate synthase
336	ACC synthase	1-aminocyclopropane-1-carboxylate synthase
337	ACC synthase	1-aminocyclopropane-1-carboxylate synthase
338	ACC synthase	1-aminocyclopropane-1-carboxylate synthase
339	ACC synthase	1-aminocyclopropane-1-carboxylate synthase
340	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
340	ACCD	1-aminocyclopropane-1-carboxylate deaminase
341	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
341	ACCD	1-aminocyclopropane-1-carboxylate deaminase
342	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
342	ACCD	1-aminocyclopropane-1-carboxylate deaminase
343	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
343	ACCD	1-aminocyclopropane-1-carboxylate deaminase
344	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
344	ACCD	1-aminocyclopropane-1-carboxylate deaminase
345	ACC deaminase	1-aminocyclopropane-1-carboxylate deaminase
345	ACCD	1-aminocyclopropane-1-carboxylate deaminase
