Type-1 fimbrial protein, C chain	FIM1C_ECOL6						pilC|focA|Type-1C pilin
Type-1 fimbrial protein, C chain	FIM1C_ECOLX						pilC|focA|Type-1C pilin
Type-1 fimbrial protein, A chain	FIMA1_ECOLI						Type-1A pilin|fimA|pilA
Type-1 fimbrial protein, A chain	FIMA1_ECOLX						Type-1A pilin|fimA
Major fimbrial subunit protein type-1	FIMA1_PORG3						Major fimbrial subunit protein type I|Fimbrillin|fimA
Major fimbrial subunit protein type-1	FIMA1_PORGN						Major fimbrial subunit protein type I|Fimbrillin|fimA
Type-1 fimbrial protein, A chain	FIMA1_SALTI						Type-1A pilin|fimA
Type-1 fimbrial protein, A chain	FIMA1_SALTY						Type-1A pilin|fimA
Type-1 fimbrial protein subunit	FIMA1_SERMA						fimA
Major fimbrial subunit protein type-3	FIMA3_PORGN						Fimbrillin|fimA|Major fimbrial subunit protein type III
Major fimbrial subunit protein type-4	FIMA4_PORGN						Major fimbrial subunit protein type IV|Fimbrillin|fimA
Major fimbrial subunit protein type-5	FIMA5_PORGN						Major fimbrial subunit protein type V|Fimbrillin|fimA
Major fimbrial subunit protein type-2	FIMA2_PORGN						Major fimbrial subunit protein type II|Fimbrillin|fimA
Protein FimA	FIMA_BORPT						fimA
Major fimbrial subunit protein	FIMA_PORGI						Fimbrillin|fimA
Fimbrin-1	FIMB1_ARATH						FIM1|Fimbrin1
Major fimbrial subunit protein type Ib	FIMB1_PORGN						Fimbrillin|fimA
Major fimbrial subunit protein type-2	FIMB2_PORGN						Major fimbrial subunit protein type II|Fimbrillin|fimA
Fimbrin-2	FIMB2_ARATH						Fimbrin2|FIM2
Fimbrin-3	FIMB3_ARATH						FIM3|Fimbrin3
Fimbrin-4	FIMB4_ARATH						FIM4|Fimbrin4
Fimbrin-5	FIMB5_ARATH						FIM2|FIM5|Fimbrin5|Fimbrin-like protein 2
Fimbrial assembly protein, serogroup A1	FIMBA_DICNO						fimB|Bacteroides nodosus
Fimbrial assembly protein, serogroup B1	FIMBB_DICNO						fimB|Bacteroides nodosus
Fimbrial assembly protein, serogroups C1 and C2	FIMBC_DICNO						fimB|Bacteroides nodosus
Fimbrial assembly protein, serogroup E2	FIMBE_DICNO						fimB|Bacteroides nodosus
Fimbrial assembly protein, serogroup F1	FIMBF_DICNO						fimB|Bacteroides nodosus
Fimbrial assembly protein, serogroup G1	FIMBG_DICNO						fimB|Bacteroides nodosus
Fimbrial assembly protein, serogroup I	FIMBI_DICNO						fimB|Bacteroides nodosus
Fimbrial assembly protein, serogroup E1	FIMBX_DICNO						fimB|Bacteroides nodosus
Chaperone protein FimB/FhaD	FIMB_BORPE						fimB|fhaD
Fimbrin	FIMB_DICDI						fimA
Type 1 fimbriae regulatory protein FimB	FIMB_ECO57						fimB
Type 1 fimbriae regulatory protein FimB	FIMB_ECOLI						fimB
Fimbrin	FIMB_SCHPO						fim1
Fimbrin	FIMB_YEAST						ABP67|SAC6
Probable fimbrial assembly protein FimC, serogroup D	FIMCD_DICNO						fimC|Bacteroides nodosus
Probable fimbrial assembly protein FimC, serogroup H1	FIMCH_DICNO						fimC|Bacteroides nodosus
Outer membrane usher protein FimC	FIMC_BORPE						fimC|fhaA
Chaperone protein FimC	FIMC_ECOL6						fimC
Chaperone protein FimC	FIMC_ECOLI						fimC
Chaperone protein FimC	FIMC_SALTY						fimC
Probable fimbrial assembly protein FimD, serogroup H1	FIMDH_DICNO						fimD|Bacteroides nodosus
Outer membrane usher protein FimD	FIMD_ECOLI						fimD
Outer membrane usher protein FimD	FIMD_SALTY						fimD
Type 1 fimbriae regulatory protein FimE	FIME_ECOL6						fimE
Type 1 fimbriae regulatory protein FimE	FIME_ECOLI						fimE
Type 1 fimbriae regulatory protein FimE	FIME_SHIFL						fimE
Fimbrial-like protein FimF	FIMF_SALTY						fimF
Protein FimG	FIMG_ECOLI						fimG
Protein FimF	FIMF_ECOLI						fimF
Protein FimH	FIMH_ECOLI						fimH
Protein FimH	FIMH_SALTY						fimH
Fimbrin-like protein FimI	FIMI_ECOLI						fimI
Fimbrin-like protein FimI	FIMI_SALTY						fimI
Fimbriae W protein	FIMW_SALTY						fimW
Fimbriae Y protein	FIMY_SALTY						fimY
Fimbriae Z protein	FIMZ_ECO57						fimZ
Fimbriae Z protein	FIMZ_ECOLI						fimZ|ybcA
Fimbriae Z protein	FIMZ_SALTY						fimZ
G2-specific protein kinase fin1	FIN1_SCHPO						fin1
Filament protein FIN1	FIN1_YEAST						Filaments in between nuclei protein 1|FIN1
Fibronectin	FINC_BOVIN						Anastellin|FN1
Fibronectin	FINC_CANFA						Canis lupus familiaris|FN1
Fibronectin	FINC_CHICK						FN1
Fibronectin	FINC_HORSE						FN1
Fibronectin	FINC_HUMAN						Cold-insoluble globulin|Ugl-Y1|Ugl-Y3|Anastellin|Ugl-Y2|FN1|FN
Fibronectin	FINC_MOUSE						Anastellin|Fn1
Fibronectin	FINC_NOTVI						Triturus viridescens
Fibronectin	FINC_PLEWA						
Fibronectin	FINC_RABIT						FN1
Fibronectin	FINC_RAT						Anastellin|Fn1
Fibronectin	FINC_XENLA						fn1
Fertility inhibition protein	FINO2_ECOLX						Conjugal transfer repressor|finO
Fertility inhibition protein	FINO3_ECOLX						Conjugal transfer repressor|finO
Fertility inhibition protein	FINO4_ECOLX						Conjugal transfer repressor|finO
Fertility inhibition protein	FINO_ECO57						Conjugal transfer repressor|finO
Fertility inhibition protein	FINO_ECOLI						Conjugal transfer repressor|finO
Protein FinQ	FINQ_ECOLX						finQ
Iron transport multicopper oxidase fio1	FIO1_SCHPO						fio1
Pre-mRNA polyadenylation factor fip1	FIP1X_SCHPO						
Pre-mRNA polyadenylation factor FIP1	FIP1_ASHGO						FIP1|Eremothecium gossypii
Pre-mRNA polyadenylation factor fip1	FIP1_ASPFU						fip1|Aspergillus fumigatus
Fungus-induced protein 1	FIP1_CAEBR						fip-1
